Extent,Prediction
10.36,11.523
10.373,11.574
10.391,11.667
10.436,11.761
10.555,11.913
10.642,11.997
10.767,12.055
10.895,12.096
10.951,12.116
11.069,12.203
11.175,12.326
11.297,12.465
11.397,12.526
11.512,12.699
11.511,12.704
11.523,12.827
11.574,12.905
11.667,13.008
11.761,13.117
11.913,13.181
11.997,13.292
12.055,13.303
12.096,13.374
12.116,13.437
12.203,13.512
12.326,13.629
12.465,13.695
12.526,13.746
12.699,13.749
12.704,13.778
12.827,13.747
12.905,13.819
13.008,13.815
13.117,13.919
13.181,13.976
13.292,14.099
13.303,14.071
13.374,14.103
13.437,14.124
13.512,14.116
13.629,14.115
13.695,14.141
13.746,14.18
13.749,14.211
13.778,14.261
13.747,14.313
13.819,14.402
13.815,14.417
13.919,14.381
13.976,14.359
14.099,14.42
14.071,14.548
14.103,14.701
14.124,14.755
14.116,14.819
14.115,14.886
14.141,14.921
14.18,14.997
14.211,15.011
14.261,14.956
14.313,15.012
14.402,15.08
14.417,15.166
14.381,15.165
14.359,15.265
14.42,15.288
14.548,15.378
14.701,15.369
14.755,15.38
14.819,15.373
14.886,15.43
14.921,15.502
14.997,15.364
15.011,15.319
14.956,15.361
15.012,15.386
15.08,15.427
15.166,15.454
15.165,15.378
15.265,15.482
15.288,15.463
15.378,15.485
15.369,15.515
15.38,15.577
15.373,15.594
15.43,15.473
15.502,15.383
15.364,15.424
15.319,15.465
15.361,15.503
15.386,15.368
15.427,15.314
15.454,15.396
15.378,15.455
15.482,15.469
15.463,15.467
15.485,15.534
15.515,15.571
15.577,15.638
15.594,15.664
15.473,15.655
15.383,15.68
15.424,15.655
15.465,15.557
15.503,15.607
15.368,15.686
15.314,15.72
15.396,15.689
15.455,15.766
15.469,15.646
15.467,15.564
15.534,15.442
15.571,15.388
15.638,15.409
15.664,15.295
15.655,15.367
15.68,15.385
15.655,15.413
15.557,15.338
15.607,15.295
15.686,15.308
15.72,15.4
15.689,15.431
15.766,15.464
15.646,15.397
15.564,15.362
15.442,15.329
15.388,15.283
15.409,15.235
15.295,15.238
15.367,15.302
15.385,15.277
15.413,15.281
15.338,15.248
15.295,15.116
15.308,14.993
15.4,14.933
15.431,15.029
15.464,15.012
15.397,14.968
15.362,14.857
15.329,14.772
15.283,14.724
15.235,14.656
15.238,14.648
15.302,14.591
15.277,14.516
15.281,14.349
15.248,14.37
15.116,14.265
14.993,14.239
14.933,14.064
15.029,14.004
15.012,13.996
14.968,13.959
14.857,13.963
14.772,13.929
14.724,13.898
14.656,13.794
14.648,13.754
14.591,13.679
14.516,13.627
14.349,13.577
14.37,13.57
14.265,13.363
14.239,13.342
14.064,13.369
14.004,13.319
13.996,13.252
13.959,13.25
13.963,13.24
13.929,13.247
13.898,13.189
13.794,13.187
13.754,13.122
13.679,13.094
13.627,13.058
13.577,13.084
13.57,13.051
13.363,13.008
13.342,12.975
13.369,12.922
13.319,13.027
13.252,12.96
13.25,12.923
13.24,12.886
13.247,12.874
13.189,12.856
13.187,12.878
13.122,12.849
13.094,12.853
13.058,12.807
13.084,12.823
13.051,12.766
13.008,12.794
12.975,12.729
12.922,12.687
13.027,12.643
12.96,12.638
12.923,12.641
12.886,12.601
12.874,12.561
12.856,12.541
12.878,12.506
12.849,12.452
12.853,12.422
12.807,12.455
12.823,12.414
12.766,12.341
12.794,12.336
12.729,12.308
12.687,12.235
12.643,12.233
12.638,12.171
12.641,12.118
12.601,12.066
12.561,11.966
12.541,11.957
12.506,11.927
12.452,11.892
12.422,11.804
12.455,11.749
12.414,11.692
12.341,11.635
12.336,11.616
12.308,11.34
12.235,11.277
12.233,11.128
12.171,11.164
12.118,11.068
12.066,11.002
11.966,10.914
11.957,10.86
11.927,10.861
11.892,10.711
11.804,10.633
11.749,10.597
11.692,10.514
11.635,10.3
11.616,10.199
11.34,10.165
11.277,10.104
11.128,9.99
11.164,9.837
11.068,9.662
11.002,9.627
10.914,9.607
10.86,9.497
10.861,9.419
10.711,9.338
10.633,9.304
10.597,9.13
10.514,9.099
10.3,8.953
10.199,8.861
10.165,8.86
10.104,8.83
9.99,8.765
9.837,8.69
9.662,8.548
9.627,8.474
9.607,8.417
9.497,8.319
9.419,8.295
9.338,8.237
9.304,8.195
9.13,8.113
9.099,8.048
8.953,8.02
8.861,7.93
8.86,7.887
8.83,7.906
8.765,7.844
8.69,7.783
8.548,7.605
8.474,7.527
8.417,7.469
8.319,7.407
8.295,7.443
8.237,7.457
8.195,7.459
8.113,7.475
8.048,7.354
8.02,7.351
7.93,7.182
7.887,7.157
7.906,7.148
7.844,7.088
7.783,7.075
7.605,7.082
7.527,7.003
7.469,6.998
7.407,6.991
7.443,6.959
7.457,6.98
7.459,6.95
7.475,6.907
7.354,6.903
7.351,6.922
7.182,6.908
7.157,6.907
7.148,6.894
7.088,6.968
7.075,6.95
7.082,6.964
7.003,6.976
6.998,6.901
6.991,6.918
6.959,6.888
6.98,6.917
6.95,6.979
6.907,7.053
6.903,7.197
6.922,7.229
6.908,7.267
6.907,7.213
6.894,7.263
6.968,7.453
6.95,7.493
6.964,7.588
6.976,7.684
6.901,7.687
6.918,7.776
6.888,7.917
6.917,8.011
6.979,8.077
7.053,8.145
7.197,8.263
7.229,8.448
7.267,8.6
7.213,8.591
7.263,8.664
7.453,8.791
7.493,8.897
7.588,9.098
7.684,9.255
7.687,9.331
7.776,9.424
7.917,9.524
8.011,9.622
8.077,9.688
8.145,9.735
8.263,9.844
8.448,9.925
8.6,9.965
8.591,10.042
8.664,10.086
8.791,10.072
8.897,10.213
9.098,10.294
9.255,10.302
9.331,10.348
9.424,10.395
9.524,10.419
9.622,10.412
9.688,10.461
9.735,10.593
9.844,10.696
9.925,10.697
9.965,10.667
10.042,10.713
10.086,10.794
10.072,10.903
10.213,10.842
10.294,10.972
10.302,11.049
10.348,11.123
10.395,11.262
10.419,11.469
10.412,11.577
10.461,11.737
10.593,11.919
10.696,12.037
10.697,12.117
10.667,12.196
10.713,12.334
10.794,12.417
10.903,12.499
10.842,12.597
10.972,12.705
11.049,12.85
11.123,12.988
11.262,13.01
11.469,13.018
11.577,13.059
11.737,13.083
11.919,13.186
12.037,13.173
12.117,13.255
12.196,13.323
12.334,13.292
12.417,13.32
12.499,13.335
12.597,13.284
12.705,13.337
12.85,13.468
12.988,13.521
13.01,13.555
13.018,13.575
13.059,13.564
13.083,13.655
13.186,13.746
13.173,13.758
13.255,13.771
13.323,13.768
13.292,13.889
13.32,13.88
13.335,13.927
13.284,14.099
13.337,14.319
13.468,14.384
13.521,14.283
13.555,14.321
13.575,14.303
13.564,14.407
13.655,14.497
13.746,14.54
13.758,14.623
13.771,14.663
13.768,14.66
13.889,14.716
13.88,14.685
13.927,14.74
14.099,14.728
14.319,14.671
14.384,14.741
14.283,14.899
14.321,14.959
14.303,15.004
14.407,14.977
14.497,15.018
14.54,15.023
14.623,14.983
14.663,15.021
14.66,15.194
14.716,15.074
14.685,15.083
14.74,15.17
14.728,15.257
14.671,15.318
14.741,15.351
14.899,15.39
14.959,15.383
15.004,15.36
14.977,15.38
15.018,15.277
15.023,15.311
14.983,15.369
15.021,15.404
15.194,15.598
15.074,15.627
15.083,15.527
15.17,15.433
15.257,15.433
15.318,15.445
15.351,15.539
15.39,15.612
15.383,15.64
15.36,15.658
15.38,15.753
15.277,15.678
15.311,15.681
15.369,15.705
15.404,15.79
15.598,15.842
15.627,15.938
15.527,16.022
15.433,16.044
15.433,16.021
15.445,16.058
15.539,16.066
15.612,16.084
15.64,16.06
15.658,16.001
15.753,15.961
15.678,15.992
15.681,16.083
15.705,16.095
15.79,16.167
15.842,16.249
15.938,16.2
16.022,16.173
16.044,16.059
16.021,15.98
16.058,15.859
16.066,15.739
16.084,15.715
16.06,15.627
16.001,15.683
15.961,15.734
15.992,15.771
16.083,15.74
16.095,15.609
16.167,15.564
16.249,15.479
16.2,15.483
16.173,15.526
16.059,15.54
15.98,15.551
15.859,15.533
15.739,15.483
15.715,15.551
15.627,15.524
15.683,15.455
15.734,15.402
15.771,15.393
15.74,15.275
15.609,15.037
15.564,14.897
15.479,14.85
15.483,14.743
15.526,14.664
15.54,14.673
15.551,14.627
15.533,14.566
15.483,14.384
15.551,14.303
15.524,14.247
15.455,14.364
15.402,14.322
15.393,14.268
15.275,14.212
15.037,14.162
14.897,14.051
14.85,14.04
14.743,13.981
14.664,13.85
14.673,13.798
14.627,13.847
14.566,13.621
14.384,13.587
14.303,13.571
14.247,13.563
14.364,13.6
14.322,13.614
14.268,13.609
14.212,13.556
14.162,13.502
14.051,13.432
14.04,13.423
13.981,13.419
13.85,13.31
13.798,13.277
13.847,13.284
13.621,13.284
13.587,13.217
13.571,13.218
13.563,13.167
13.6,13.185
13.614,13.155
13.609,13.04
13.556,12.969
13.502,12.972
13.432,12.922
13.423,12.871
13.419,12.794
13.31,12.776
13.277,12.753
13.284,12.705
13.284,12.605
13.217,12.361
13.218,12.258
13.167,12.257
13.185,12.16
13.155,12.145
13.04,12.107
12.969,12.056
12.972,12.002
12.922,11.952
12.871,11.927
12.794,11.849
12.776,11.773
12.753,11.765
12.705,11.751
12.605,11.75
12.361,11.682
12.258,11.59
12.257,11.497
12.16,11.487
12.145,11.372
12.107,11.336
12.056,11.34
12.002,11.308
11.952,11.229
11.927,11.164
11.849,11.116
11.773,11.088
11.765,11.049
11.751,10.991
11.75,10.855
11.682,10.624
11.59,10.571
11.497,10.49
11.487,10.438
11.372,10.328
11.336,10.305
11.34,10.21
11.308,10.079
11.229,10.043
11.164,9.881
11.116,9.815
11.088,9.711
11.049,9.599
10.991,9.548
10.855,9.284
10.624,9.16
10.571,9.084
10.49,9.04
10.438,8.949
10.328,8.86
10.305,8.813
10.21,8.759
10.079,8.569
10.043,8.451
9.881,8.312
9.815,8.208
9.711,8.095
9.599,7.912
9.548,7.891
9.284,7.864
9.16,7.752
9.084,7.686
9.04,7.536
8.949,7.52
8.86,7.505
8.813,7.368
8.759,7.307
8.569,7.15
8.451,7.164
8.312,7.098
8.208,7.068
8.095,7.018
7.912,7.007
7.891,6.924
7.864,6.891
7.752,6.861
7.686,6.723
7.536,6.649
7.52,6.607
7.505,6.6
7.368,6.511
7.307,6.564
7.15,6.46
7.164,6.41
7.098,6.359
7.068,6.318
7.018,6.274
7.007,6.254
6.924,6.238
6.891,6.21
6.861,6.231
6.723,6.211
6.649,6.198
6.607,6.191
6.6,6.207
6.511,6.116
6.564,6.141
6.46,6.162
6.41,6.127
6.359,6.161
6.318,6.197
6.274,6.117
6.254,6.094
6.238,6.147
6.21,6.103
6.231,6.111
6.211,6.131
6.198,6.089
6.191,6.133
6.207,6.035
6.116,6.031
6.141,6.066
6.162,6.011
6.127,6.039
6.161,6.074
6.197,6.125
6.117,6.141
6.094,6.135
6.147,6.174
6.103,6.252
6.111,6.338
6.131,6.438
6.089,6.626
6.133,6.74
6.035,6.879
6.031,7.063
6.066,7.172
6.011,7.196
6.039,7.242
6.074,7.294
6.125,7.472
6.141,7.608
6.135,7.692
6.174,7.846
6.252,7.943
6.338,8.137
6.438,8.409
6.626,8.551
6.74,8.722
6.879,8.977
7.063,9.102
7.172,9.297
7.196,9.452
7.242,9.549
7.294,9.595
7.472,9.579
7.608,9.665
7.692,9.757
7.846,9.827
7.943,9.854
8.137,9.878
8.409,9.906
8.551,10.003
8.722,10.155
8.977,10.279
9.102,10.317
9.297,10.266
9.452,10.337
9.549,10.396
9.595,10.521
9.579,10.643
9.665,10.696
9.757,10.775
9.827,10.822
9.854,10.831
9.878,10.928
9.906,10.956
10.003,11.018
10.155,11.105
10.279,11.19
10.317,11.209
10.266,11.248
10.337,11.279
10.396,11.503
10.521,11.529
10.643,11.535
10.696,11.557
10.775,11.68
10.822,11.689
10.831,11.763
10.928,11.91
10.956,12.056
11.018,12.063
11.105,12.279
11.19,12.422
11.209,12.47
11.248,12.548
11.279,12.643
11.503,12.653
11.529,12.613
11.535,12.683
11.557,12.756
11.68,12.818
11.689,12.845
11.763,12.915
11.91,13.019
12.056,13.106
12.063,13.158
12.279,13.226
12.422,13.353
12.47,13.28
12.548,13.324
12.643,13.417
12.653,13.525
12.613,13.563
12.683,13.62
12.756,13.62
12.818,13.601
12.845,13.541
12.915,13.48
13.019,13.432
13.106,13.439
13.158,13.437
13.226,13.486
13.353,13.634
13.28,13.831
13.324,13.847
13.417,13.858
13.525,13.872
13.563,13.958
13.62,13.976
13.62,13.985
13.601,14.071
13.541,14.141
13.48,14.205
13.432,14.212
13.439,14.348
13.437,14.346
13.486,14.389
13.634,14.404
13.831,14.468
13.847,14.458
13.858,14.561
13.872,14.577
13.958,14.635
13.976,14.642
13.985,14.711
14.071,14.715
14.141,14.789
14.205,14.742
14.212,14.753
14.348,14.762
14.346,14.744
14.389,14.813
14.404,14.831
14.468,14.852
14.458,14.84
14.561,14.86
14.577,14.779
14.635,14.855
14.642,14.849
14.711,14.886
14.715,14.955
14.789,15.018
14.742,15.066
14.753,15.12
14.762,15.169
14.744,15.28
14.813,15.347
14.831,15.372
14.852,15.388
14.84,15.412
14.86,15.417
14.779,15.499
14.855,15.56
14.849,15.467
14.886,15.459
14.955,15.596
15.018,15.575
15.066,15.647
15.12,15.586
15.169,15.6
15.28,15.529
15.347,15.488
15.372,15.509
15.388,15.422
15.412,15.326
15.417,15.352
15.499,15.437
15.56,15.39
15.467,15.51
15.459,15.487
15.596,15.472
15.575,15.454
15.647,15.436
15.586,15.459
15.6,15.501
15.529,15.472
15.488,15.521
15.509,15.48
15.422,15.499
15.326,15.536
15.352,15.448
15.437,15.379
15.39,15.361
15.51,15.27
15.487,15.325
15.472,15.388
15.454,15.371
15.436,15.221
15.459,15.221
15.501,15.282
15.472,15.432
15.521,15.451
15.48,15.482
15.499,15.463
15.536,15.41
15.448,15.363
15.379,15.372
15.361,15.355
15.27,15.278
15.325,15.265
15.388,15.196
15.371,15.116
15.221,14.983
15.221,14.939
15.282,14.891
15.432,14.899
15.451,14.85
15.482,14.787
15.463,14.81
15.41,14.753
15.363,14.635
15.372,14.63
15.355,14.62
15.278,14.606
15.265,14.583
15.196,14.519
15.116,14.478
14.983,14.418
14.939,14.34
14.891,14.249
14.899,14.273
14.85,14.229
14.787,14.068
14.81,14.01
14.753,13.944
14.635,13.945
14.63,13.862
14.62,13.815
14.606,13.801
14.583,13.756
14.519,13.702
14.478,13.677
14.418,13.612
14.34,13.667
14.249,13.62
14.273,13.56
14.229,13.474
14.068,13.495
14.01,13.48
13.944,13.394
13.945,13.35
13.862,13.314
13.815,13.266
13.801,13.192
13.756,13.196
13.702,13.144
13.677,13.122
13.612,13.104
13.667,13.073
13.62,13.038
13.56,13.051
13.474,12.97
13.495,12.965
13.48,12.781
13.394,12.756
13.35,12.755
13.314,12.707
13.266,12.667
13.192,12.623
13.196,12.556
13.144,12.526
